,Date,Year,Month,Day,Address,State,County,City,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI
15820,2000-05-05,2000,5,5,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.020882,0.036,10,33,0.7875,1.1,23,13.0,8.8,15.0,23,21.0,42.5,60.0,22,57
15821,2000-05-06,2000,5,6,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.036647,0.065,10,84,1.195833,2.1,5,24.0,9.5,26.0,2,37.0,42.875,82.0,20,81
15822,2000-05-07,2000,5,7,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.040059,0.069,10,97,0.8375,1.3,0,15.0,7.041667,21.0,6,30.0,29.0,56.0,7,53
15823,2000-05-08,2000,5,8,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.032529,0.057,10,58,0.916667,1.2,23,14.0,12.045455,26.0,6,37.0,49.958333,87.0,20,86
15824,2000-05-09,2000,5,9,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.048235,0.066,10,87,0.795833,1.2,0,14.0,9.666667,19.0,1,27.0,36.619048,55.0,7,52
15825,2000-05-10,2000,5,10,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.015765,0.026,9,24,0.533333,0.7,0,8.0,2.958333,6.0,0,9.0,19.708333,34.0,1,32
15826,2000-05-11,2000,5,11,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.021941,0.036,8,33,0.566667,0.6,1,7.0,4.9583330000000005,10.0,20,14.0,24.25,46.0,23,43
15827,2000-05-12,2000,5,12,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.022294,0.027,12,25,0.691667,0.8,6,9.0,3.75,8.0,0,11.0,30.291667,49.0,1,46
15828,2000-05-13,2000,5,13,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.024824,0.031,12,29,0.6125,0.8,23,9.0,3.416667,6.0,20,9.0,20.125,38.0,22,36
15829,2000-05-14,2000,5,14,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.032118,0.042,10,39,0.566667,0.8,0,9.0,5.125,8.0,21,11.0,20.791667,49.0,21,46
15830,2000-05-15,2000,5,15,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.021882,0.04,9,37,0.466667,0.6,0,7.0,6.272727,15.0,21,21.0,25.416667,54.0,21,51
15831,2000-05-16,2000,5,16,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.028471,0.044,10,41,0.695833,1.0,8,11.0,7.791666999999999,38.0,6,54.0,38.454545,63.0,21,61
15832,2000-05-17,2000,5,17,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.042,0.055,12,51,0.595833,0.7,0,8.0,7.333333,17.0,1,24.0,34.208333,57.0,10,54
15833,2000-05-18,2000,5,18,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.019118,0.032,11,30,0.745833,0.9,12,10.0,4.3333330000000005,10.0,8,14.0,39.666667,60.0,21,57
15834,2000-05-19,2000,5,19,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.013471,0.016,21,15,0.6,0.9,0,10.0,2.875,5.0,4,7.0,24.0,39.0,3,37
15835,2000-05-20,2000,5,20,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.0166669999999999,0.026,23,24,0.508333,0.6,15,7.0,3.95,7.0,6,10.0,23.125,30.0,19,28
15836,2000-05-21,2000,5,21,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.012529,0.03,7,28,0.491667,0.8,23,9.0,3.333333,5.0,21,7.0,22.833333,42.0,19,40
15837,2000-05-22,2000,5,22,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.017059,0.02,15,19,0.625,0.8,0,9.0,5.318182,12.0,11,17.0,27.5,37.0,0,35
15838,2000-05-23,2000,5,23,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.023647,0.033,19,31,0.666667,1.0,11,11.0,11.208333,43.0,9,60.0,30.333333000000003,53.0,11,50
15839,2000-05-24,2000,5,24,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.024706,0.045,10,42,0.583333,0.8,23,9.0,5.916667,15.0,23,21.0,37.555556,64.0,23,62
15840,2000-05-25,2000,5,25,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.025882,0.044,9,41,0.633333,0.8,0,9.0,6.75,17.0,7,24.0,35.318182,55.0,20,52
15841,2000-05-26,2000,5,26,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.025176,0.036,9,33,0.458333,0.6,0,7.0,3.708333,7.0,5,10.0,22.85,33.0,22,31
15842,2000-05-27,2000,5,27,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.021235,0.03,8,28,0.525,0.7,22,8.0,5.0,11.0,22,16.0,24.791667,41.0,21,39
15843,2000-05-28,2000,5,28,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.027529,0.036,8,33,0.479167,0.7,0,8.0,2.166667,3.0,0,4.0,17.458333,32.0,19,30
15844,2000-05-29,2000,5,29,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.023824,0.031,10,29,0.35,0.5,0,6.0,2.708333,5.0,8,7.0,10.5,23.0,21,22
15845,2000-05-30,2000,5,30,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.022353,0.035,11,32,0.3875,0.4,0,5.0,2.772727,5.0,6,7.0,15.909091,32.0,22,30
15846,2000-05-31,2000,5,31,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.010588,0.024,8,22,0.8,0.8,21,9.0,3.791667,6.0,17,9.0,31.5,57.0,18,54
15847,2000-06-01,2000,6,1,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.028625,0.062,9,74,0.941667,1.6,22,18.0,10.916667,23.0,6,33.0,53.708333,103.0,21,101
15848,2000-06-02,2000,6,2,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.043059,0.071,11,101,1.020833,1.6,0,18.0,8.666667,23.0,6,33.0,43.625,73.0,9,71
15849,2000-06-03,2000,6,3,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.018294,0.033,11,31,0.466667,0.7,0,8.0,4.541667,9.0,20,13.0,19.25,45.0,21,42
15850,2000-06-04,2000,6,4,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.026824,0.044,8,41,0.6125,1.0,4,11.0,4.4583330000000005,11.0,4,16.0,23.916667,41.0,4,39
15851,2000-06-05,2000,6,5,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.031059,0.034,21,31,0.533333,0.8,11,9.0,3.809524,9.0,9,13.0,17.619048,33.0,0,31
15852,2000-06-06,2000,6,6,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.019182,0.026,20,24,0.4625,0.6,12,7.0,3.333333,5.0,18,7.0,18.333333,30.0,8,28
15853,2000-06-07,2000,6,7,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.018471,0.035,10,32,0.45,0.8,22,9.0,6.9583330000000005,18.0,21,26.0,24.875,53.0,20,50
15854,2000-06-08,2000,6,8,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.031471,0.045,12,42,1.016667,1.5,7,17.0,12.458333,23.0,20,33.0,44.625,71.0,7,69
15855,2000-06-09,2000,6,9,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.056765,0.076,10,119,0.670833,0.8,20,9.0,12.0,15.0,20,21.0,41.208333,61.0,23,58
15856,2000-06-10,2000,6,10,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.083118,0.103,10,195,0.7125,0.9,0,10.0,10.5,16.0,9,23.0,31.458333000000003,56.0,0,53
15857,2000-06-11,2000,6,11,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.047176,0.079,9,129,0.670833,0.8,0,9.0,8.416667,16.0,7,23.0,22.791667,36.0,18,34
15858,2000-06-12,2000,6,12,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.016412,0.02,18,19,0.454167,0.6,0,7.0,2.571429,5.0,8,7.0,19.952381,31.0,2,29
15859,2000-06-13,2000,6,13,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.017353,0.023,22,21,0.4125,0.5,10,6.0,2.541667,5.0,11,7.0,18.916667,27.0,6,25
15860,2000-06-14,2000,6,14,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.013765,0.02,9,19,0.379167,0.5,20,6.0,1.875,3.0,19,4.0,17.375,28.0,19,26
15861,2000-06-15,2000,6,15,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.004471,0.008,7,7,0.683333,1.1,21,13.0,3.916667,8.0,14,11.0,33.25,56.0,14,53
15862,2000-06-16,2000,6,16,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.026529,0.047,10,44,0.941667,1.2,6,14.0,10.458333,23.0,9,33.0,42.041667,64.0,19,62
15863,2000-06-17,2000,6,17,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.031059,0.052,9,48,0.625,0.9,0,10.0,7.041667,18.0,3,26.0,22.25,34.0,0,32
15864,2000-06-18,2000,6,18,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.027353,0.038,11,35,0.5125,0.6,21,7.0,3.833333,6.0,9,9.0,21.875,30.0,20,28
15865,2000-06-19,2000,6,19,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.015765,0.03,10,28,0.529167,0.6,0,7.0,4.681818,14.0,5,20.0,23.458333,43.0,21,41
15866,2000-06-20,2000,6,20,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,0.037882,0.06,12,67,0.525,0.7,1,8.0,4.541667,10.0,6,14.0,29.047619,42.0,20,40
