,Store,Date,IsHoliday,Dept,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Type,Size
0,1,2010-02-05,0,1.0,24924.5,42.31,2.572,211.0963582,8.106,3,151315
1,1,2010-02-05,0,26.0,11737.12,42.31,2.572,211.0963582,8.106,3,151315
2,1,2010-02-05,0,17.0,13223.76,42.31,2.572,211.0963582,8.106,3,151315
3,1,2010-02-05,0,45.0,37.44,42.31,2.572,211.0963582,8.106,3,151315
4,1,2010-02-05,0,28.0,1085.29,42.31,2.572,211.0963582,8.106,3,151315
5,1,2010-02-05,0,79.0,46729.77,42.31,2.572,211.0963582,8.106,3,151315
6,1,2010-02-05,0,55.0,21249.31,42.31,2.572,211.0963582,8.106,3,151315
7,1,2010-02-05,0,5.0,32229.38,42.31,2.572,211.0963582,8.106,3,151315
8,1,2010-02-05,0,58.0,7659.97,42.31,2.572,211.0963582,8.106,3,151315
9,1,2010-02-05,0,7.0,21084.08,42.31,2.572,211.0963582,8.106,3,151315
10,1,2010-02-05,0,83.0,5711.19,42.31,2.572,211.0963582,8.106,3,151315
11,1,2010-02-05,0,9.0,16930.99,42.31,2.572,211.0963582,8.106,3,151315
12,1,2010-02-05,0,87.0,35972.49,42.31,2.572,211.0963582,8.106,3,151315
13,1,2010-02-05,0,34.0,14350.83,42.31,2.572,211.0963582,8.106,3,151315
14,1,2010-02-05,0,19.0,1947.05,42.31,2.572,211.0963582,8.106,3,151315
15,1,2010-02-05,0,52.0,3508.04,42.31,2.572,211.0963582,8.106,3,151315
16,1,2010-02-05,0,74.0,12251.94,42.31,2.572,211.0963582,8.106,3,151315
17,1,2010-02-05,0,38.0,115564.35,42.31,2.572,211.0963582,8.106,3,151315
18,1,2010-02-05,0,93.0,64494.87,42.31,2.572,211.0963582,8.106,3,151315
19,1,2010-02-05,0,23.0,24146.49,42.31,2.572,211.0963582,8.106,3,151315
20,1,2010-02-05,0,16.0,10217.55,42.31,2.572,211.0963582,8.106,3,151315
21,1,2010-02-05,0,95.0,106690.06,42.31,2.572,211.0963582,8.106,3,151315
22,1,2010-02-05,0,2.0,50605.27,42.31,2.572,211.0963582,8.106,3,151315
23,1,2010-02-05,0,27.0,2293.0,42.31,2.572,211.0963582,8.106,3,151315
24,1,2010-02-05,0,51.0,1.16,42.31,2.572,211.0963582,8.106,3,151315
25,1,2010-02-05,0,4.0,39954.04,42.31,2.572,211.0963582,8.106,3,151315
26,1,2010-02-05,0,80.0,15694.17,42.31,2.572,211.0963582,8.106,3,151315
27,1,2010-02-05,0,29.0,7024.95,42.31,2.572,211.0963582,8.106,3,151315
28,1,2010-02-05,0,56.0,2567.36,42.31,2.572,211.0963582,8.106,3,151315
29,1,2010-02-05,0,31.0,3455.92,42.31,2.572,211.0963582,8.106,3,151315
30,1,2010-02-05,0,33.0,8589.77,42.31,2.572,211.0963582,8.106,3,151315
31,1,2010-02-05,0,8.0,40129.01,42.31,2.572,211.0963582,8.106,3,151315
32,1,2010-02-05,0,85.0,3825.78,42.31,2.572,211.0963582,8.106,3,151315
33,1,2010-02-05,0,67.0,8414.14,42.31,2.572,211.0963582,8.106,3,151315
34,1,2010-02-05,0,46.0,20837.77,42.31,2.572,211.0963582,8.106,3,151315
35,1,2010-02-05,0,90.0,76419.47,42.31,2.572,211.0963582,8.106,3,151315
36,1,2010-02-05,0,12.0,8449.54,42.31,2.572,211.0963582,8.106,3,151315
37,1,2010-02-05,0,54.0,439.0,42.31,2.572,211.0963582,8.106,3,151315
38,1,2010-02-05,0,14.0,19466.91,42.31,2.572,211.0963582,8.106,3,151315
39,1,2010-02-05,0,94.0,56655.39,42.31,2.572,211.0963582,8.106,3,151315
40,1,2010-02-05,0,97.0,32153.04,42.31,2.572,211.0963582,8.106,3,151315
41,1,2010-02-05,0,42.0,8366.71,42.31,2.572,211.0963582,8.106,3,151315
42,1,2010-02-05,0,49.0,11501.46,42.31,2.572,211.0963582,8.106,3,151315
43,1,2010-02-05,0,47.0,70.0,42.31,2.572,211.0963582,8.106,3,151315
44,1,2010-02-05,0,91.0,62424.14,42.31,2.572,211.0963582,8.106,3,151315
45,1,2010-02-05,0,3.0,13740.12,42.31,2.572,211.0963582,8.106,3,151315
46,1,2010-02-05,0,21.0,8907.63,42.31,2.572,211.0963582,8.106,3,151315
47,1,2010-02-05,0,32.0,11875.84,42.31,2.572,211.0963582,8.106,3,151315
